No,tensorflow_elapsed,torch_elapsed,mindspore_elapsed,tensorflow_fps,torch_fps,mindspore_fps,complexity,diff_tf_torch_max,diff_torch_mindspore_max,diff_tf_mindspore_max,fitness,channels,model,fail_time
1000,0.307053,0.0142124,0.0332806,32.56766747,703.6109313,300.475352,52,0.000144959,0.000557661,0.000701189,0.260107609,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 8:1 9:3 10:3 11:3 12:3 13:3 14:3 15:3 16:3 17:3 18:3 19:6 20:6 21:6 22:9 23:9 24:9 25:9 26:12 27:12 28:12 29:12 30:13 31:17 32:18 33:21 34:21 35:30 36:33 37:33 38:45 39:46 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:1 to:9 operator:11  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:3 to:39 operator:11  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:9 operator:9  from:6 to:7 operator:-1  from:6 to:31 operator:-1  from:6 to:32 operator:5  from:7 to:8 operator:-1  from:7 to:30 operator:12  from:8 to:9 operator:-1  from:9 to:10 operator:-1  from:9 to:19 operator:10  from:10 to:11 operator:-1  from:10 to:22 operator:5  from:11 to:12 operator:-1  from:11 to:31 operator:12  from:12 to:13 operator:-1  from:12 to:33 operator:11  from:13 to:14 operator:-1  from:14 to:15 operator:-1  from:14 to:26 operator:14  from:15 to:16 operator:-1  from:15 to:36 operator:13  from:16 to:17 operator:-1  from:17 to:18 operator:-1  from:18 to:19 operator:-1  from:19 to:20 operator:-1  from:20 to:21 operator:-1  from:21 to:22 operator:-1  from:22 to:23 operator:-1  from:23 to:24 operator:-1  from:24 to:25 operator:-1  from:25 to:26 operator:-1  from:25 to:35 operator:2  from:26 to:27 operator:-1  from:27 to:28 operator:-1  from:27 to:38 operator:15  from:28 to:29 operator:-1  from:29 to:30 operator:-1  from:30 to:31 operator:-1  from:31 to:32 operator:-1  from:32 to:33 operator:-1  from:33 to:34 operator:-1  from:34 to:35 operator:-1  from:35 to:36 operator:-1  from:36 to:37 operator:-1  from:37 to:38 operator:-1  from:38 to:39 operator:-1  ,0
1001,0.0837837,0.0007514,0.0022774,119.3549581,13308.49082,4390.972161,13,1.19E-07,5.96E-08,1.19E-07,0.200168045,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 8:1 9:1 10:1 11:1 12:1 13:1 14:1 15:1 16:1 17:1 18:1 19:1 20:1 21:1 22:1 23:1 24:1 25:1 26:1 27:1 28:1 29:1 30:2 31:2 32:3 33:3 34:3 35:3 36:3 37:3 38:3 39:3 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:30 operator:12  from:7 to:32 operator:10  from:8 to:9 operator:-1  from:9 to:10 operator:-1  from:10 to:11 operator:-1  from:11 to:12 operator:-1  from:12 to:13 operator:-1  from:13 to:14 operator:-1  from:14 to:15 operator:-1  from:15 to:16 operator:-1  from:16 to:17 operator:-1  from:17 to:18 operator:-1  from:18 to:19 operator:-1  from:19 to:20 operator:-1  from:20 to:21 operator:-1  from:21 to:22 operator:-1  from:22 to:23 operator:-1  from:23 to:24 operator:-1  from:24 to:25 operator:-1  from:25 to:26 operator:-1  from:26 to:27 operator:-1  from:27 to:28 operator:-1  from:28 to:29 operator:-1  from:29 to:30 operator:-1  from:30 to:31 operator:-1  from:31 to:32 operator:-1  from:32 to:33 operator:-1  from:33 to:34 operator:-1  from:34 to:35 operator:-1  from:35 to:36 operator:-1  from:36 to:37 operator:-1  from:37 to:38 operator:-1  from:38 to:39 operator:-1  ,0
1002,0.1192974,0.0019977,0.0081843,83.82412358,5005.75662,1221.851594,29,1.19E-07,5.96E-08,1.19E-07,0.085200764,0:1 1:1 2:2 3:2 4:2 5:2 6:2 7:2 8:2 9:2 10:2 11:2 12:2 13:2 14:2 15:2 16:2 17:2 18:2 19:2 20:2 21:2 22:2 23:3 24:3 25:3 26:3 27:3 28:3 29:3 30:3 31:3 32:3 33:3 34:5 35:5 36:12 37:12 38:12 39:15 ,from:0 to:1 operator:-1  from:0 to:2 operator:11  from:1 to:2 operator:-1  from:1 to:23 operator:12  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:34 operator:11  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:36 operator:11  from:8 to:9 operator:-1  from:9 to:10 operator:-1  from:10 to:11 operator:-1  from:11 to:12 operator:-1  from:12 to:13 operator:-1  from:13 to:14 operator:-1  from:14 to:15 operator:-1  from:15 to:16 operator:-1  from:16 to:17 operator:-1  from:17 to:18 operator:-1  from:18 to:19 operator:-1  from:19 to:20 operator:-1  from:20 to:21 operator:-1  from:20 to:36 operator:9  from:21 to:22 operator:-1  from:22 to:23 operator:-1  from:23 to:24 operator:-1  from:24 to:25 operator:-1  from:25 to:26 operator:-1  from:26 to:27 operator:-1  from:26 to:36 operator:5  from:27 to:28 operator:-1  from:28 to:29 operator:-1  from:29 to:30 operator:-1  from:30 to:31 operator:-1  from:31 to:32 operator:-1  from:32 to:33 operator:-1  from:32 to:39 operator:10  from:33 to:34 operator:-1  from:34 to:35 operator:-1  from:35 to:36 operator:-1  from:36 to:37 operator:-1  from:37 to:38 operator:-1  from:38 to:39 operator:-1  ,0
1003,0.2884607,0.0043518,0.0347198,34.66676743,2297.89972,288.0200923,39,1.43E-06,5.96E-08,1.43E-06,0.041518884,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 8:1 9:1 10:1 11:1 12:1 13:1 14:1 15:1 16:2 17:2 18:2 19:2 20:2 21:2 22:3 23:4 24:6 25:6 26:6 27:9 28:9 29:9 30:9 31:9 32:11 33:20 34:20 35:20 36:22 37:28 38:28 39:34 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:23 operator:3  from:8 to:9 operator:-1  from:8 to:16 operator:1  from:8 to:22 operator:7  from:9 to:10 operator:-1  from:10 to:11 operator:-1  from:11 to:12 operator:-1  from:12 to:13 operator:-1  from:13 to:14 operator:-1  from:14 to:15 operator:-1  from:15 to:16 operator:-1  from:16 to:17 operator:-1  from:17 to:18 operator:-1  from:18 to:19 operator:-1  from:18 to:32 operator:9  from:19 to:20 operator:-1  from:20 to:21 operator:-1  from:20 to:24 operator:12  from:20 to:36 operator:9  from:21 to:22 operator:-1  from:22 to:23 operator:-1  from:22 to:27 operator:12  from:23 to:24 operator:-1  from:24 to:25 operator:-1  from:25 to:26 operator:-1  from:25 to:39 operator:4  from:26 to:27 operator:-1  from:26 to:37 operator:10  from:27 to:28 operator:-1  from:28 to:29 operator:-1  from:29 to:30 operator:-1  from:30 to:31 operator:-1  from:31 to:32 operator:-1  from:31 to:33 operator:9  from:32 to:33 operator:-1  from:33 to:34 operator:-1  from:34 to:35 operator:-1  from:35 to:36 operator:-1  from:36 to:37 operator:-1  from:37 to:38 operator:-1  from:38 to:39 operator:-1  ,0
1004,0.3331623,0.0057644,0.0377776,30.0154009,1734.785927,264.707128,26,6.84E-05,6.84E-05,6.87E-05,0.065050532,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 8:1 9:1 10:1 11:1 12:2 13:2 14:2 15:2 16:2 17:2 18:2 19:2 20:2 21:2 22:2 23:3 24:3 25:3 26:3 27:3 28:3 29:3 30:4 31:6 32:6 33:6 34:8 35:8 36:8 37:8 38:8 39:8 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:3 to:31 operator:1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:30 operator:12  from:8 to:9 operator:-1  from:8 to:12 operator:10  from:9 to:10 operator:-1  from:10 to:11 operator:-1  from:11 to:12 operator:-1  from:11 to:31 operator:12  from:12 to:13 operator:-1  from:13 to:14 operator:-1  from:14 to:15 operator:-1  from:15 to:16 operator:-1  from:16 to:17 operator:-1  from:16 to:34 operator:11  from:17 to:18 operator:-1  from:18 to:19 operator:-1  from:19 to:20 operator:-1  from:20 to:21 operator:-1  from:21 to:22 operator:-1  from:21 to:23 operator:1  from:22 to:23 operator:-1  from:23 to:24 operator:-1  from:24 to:25 operator:-1  from:25 to:26 operator:-1  from:26 to:27 operator:-1  from:27 to:28 operator:-1  from:28 to:29 operator:-1  from:29 to:30 operator:-1  from:30 to:31 operator:-1  from:31 to:32 operator:-1  from:32 to:33 operator:15  from:33 to:34 operator:-1  from:34 to:35 operator:-1  from:35 to:36 operator:-1  from:36 to:37 operator:-1  from:37 to:38 operator:-1  from:38 to:39 operator:-1  ,0
1005,0.3710604,0.0165111,0.06481,26.94979038,605.6531667,154.2971764,58,0.000144959,0.000557661,0.000701189,0.246834742,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 8:1 9:3 10:3 11:3 12:3 13:3 14:3 15:3 16:3 17:3 18:3 19:6 20:6 21:6 22:9 23:9 24:9 25:9 26:12 27:12 28:13 29:13 30:14 31:18 32:19 33:22 34:22 35:31 36:34 37:34 38:46 39:47 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:1 to:9 operator:11  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:3 to:39 operator:11  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:9 operator:9  from:6 to:7 operator:-1  from:6 to:31 operator:-1  from:6 to:32 operator:5  from:7 to:8 operator:-1  from:7 to:28 operator:8  from:7 to:30 operator:12  from:8 to:9 operator:-1  from:9 to:10 operator:-1  from:9 to:19 operator:10  from:10 to:11 operator:-1  from:10 to:22 operator:5  from:11 to:12 operator:-1  from:11 to:31 operator:12  from:12 to:13 operator:-1  from:12 to:33 operator:11  from:13 to:14 operator:-1  from:14 to:15 operator:-1  from:14 to:26 operator:14  from:15 to:16 operator:-1  from:15 to:36 operator:13  from:16 to:17 operator:-1  from:17 to:18 operator:-1  from:18 to:19 operator:-1  from:19 to:20 operator:-1  from:20 to:21 operator:-1  from:21 to:22 operator:-1  from:22 to:23 operator:-1  from:23 to:24 operator:-1  from:24 to:25 operator:-1  from:25 to:26 operator:-1  from:25 to:35 operator:2  from:26 to:27 operator:-1  from:27 to:28 operator:-1  from:27 to:38 operator:15  from:28 to:29 operator:-1  from:29 to:30 operator:-1  from:30 to:31 operator:-1  from:31 to:32 operator:-1  from:32 to:33 operator:-1  from:33 to:34 operator:-1  from:34 to:35 operator:-1  from:35 to:36 operator:-1  from:36 to:37 operator:-1  from:37 to:38 operator:-1  from:38 to:39 operator:-1  ,0
1006,0.1511723,0.002757,0.0143376,66.14968483,3627.130939,697.4668006,40,2.86E-06,5.96E-08,2.86E-06,0.066917624,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 8:1 9:1 10:1 11:1 12:1 13:1 14:1 15:1 16:1 17:1 18:1 19:1 20:2 21:2 22:2 23:2 24:2 25:2 26:2 27:2 28:2 29:2 30:2 31:2 32:2 33:3 34:5 35:5 36:7 37:7 38:8 39:10 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:4 to:34 operator:6  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:6 to:20 operator:12  from:7 to:8 operator:-1  from:8 to:9 operator:-1  from:8 to:38 operator:2  from:9 to:10 operator:-1  from:10 to:11 operator:-1  from:11 to:12 operator:-1  from:12 to:13 operator:-1  from:13 to:14 operator:-1  from:13 to:34 operator:13  from:14 to:15 operator:-1  from:15 to:16 operator:-1  from:16 to:17 operator:-1  from:17 to:18 operator:-1  from:18 to:19 operator:-1  from:19 to:20 operator:-1  from:20 to:21 operator:-1  from:20 to:33 operator:7  from:20 to:36 operator:9  from:21 to:22 operator:-1  from:22 to:23 operator:-1  from:23 to:24 operator:-1  from:24 to:25 operator:-1  from:25 to:26 operator:-1  from:25 to:39 operator:4  from:26 to:27 operator:-1  from:27 to:28 operator:-1  from:28 to:29 operator:-1  from:29 to:30 operator:-1  from:30 to:31 operator:-1  from:31 to:32 operator:-1  from:32 to:33 operator:-1  from:33 to:34 operator:-1  from:34 to:35 operator:-1  from:35 to:36 operator:-1  from:36 to:37 operator:-1  from:37 to:38 operator:-1  from:38 to:39 operator:-1  ,0
1007,0.1344209,0.002472,0.0168352,74.39319332,4045.307444,593.9935374,40,2.86E-06,5.96E-08,2.86E-06,0.06819493,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 8:1 9:1 10:1 11:1 12:1 13:1 14:1 15:1 16:1 17:1 18:1 19:1 20:2 21:2 22:2 23:2 24:2 25:2 26:2 27:2 28:2 29:2 30:2 31:2 32:2 33:4 34:6 35:6 36:8 37:8 38:9 39:11 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:4 to:34 operator:6  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:6 to:20 operator:12  from:7 to:8 operator:-1  from:8 to:9 operator:-1  from:8 to:38 operator:2  from:9 to:10 operator:-1  from:10 to:11 operator:-1  from:11 to:12 operator:-1  from:12 to:13 operator:-1  from:13 to:14 operator:-1  from:13 to:33 operator:2  from:13 to:34 operator:13  from:14 to:15 operator:-1  from:15 to:16 operator:-1  from:16 to:17 operator:-1  from:17 to:18 operator:-1  from:18 to:19 operator:-1  from:19 to:20 operator:-1  from:20 to:21 operator:-1  from:20 to:33 operator:7  from:20 to:36 operator:9  from:21 to:22 operator:-1  from:22 to:23 operator:-1  from:23 to:24 operator:-1  from:24 to:25 operator:-1  from:25 to:26 operator:-1  from:25 to:39 operator:4  from:26 to:27 operator:-1  from:27 to:28 operator:-1  from:28 to:29 operator:-1  from:29 to:30 operator:-1  from:30 to:31 operator:-1  from:31 to:32 operator:-1  from:32 to:33 operator:-1  from:33 to:34 operator:-1  from:34 to:35 operator:-1  from:35 to:36 operator:-1  from:36 to:37 operator:-1  from:37 to:38 operator:-1  from:38 to:39 operator:-1  ,0
1008,0.1048301,0.0010978,0.0036395,95.39244931,9109.127345,2747.630169,12,0,0,0,0.13564118,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 8:1 9:1 10:1 11:1 12:1 13:1 14:1 15:1 16:1 17:1 18:1 19:1 20:1 21:1 22:1 23:1 24:2 25:2 26:3 27:3 28:3 29:3 30:4 31:4 32:4 33:4 34:4 35:5 36:5 37:5 38:5 39:5 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:6 to:35 operator:12  from:7 to:8 operator:-1  from:7 to:30 operator:12  from:8 to:9 operator:-1  from:9 to:10 operator:-1  from:10 to:11 operator:-1  from:11 to:12 operator:-1  from:12 to:13 operator:-1  from:13 to:14 operator:-1  from:14 to:15 operator:-1  from:15 to:16 operator:-1  from:15 to:26 operator:1  from:16 to:17 operator:-1  from:17 to:18 operator:-1  from:18 to:19 operator:-1  from:19 to:20 operator:-1  from:20 to:21 operator:-1  from:20 to:24 operator:12  from:21 to:22 operator:-1  from:22 to:23 operator:-1  from:23 to:24 operator:-1  from:24 to:25 operator:-1  from:25 to:26 operator:-1  from:26 to:27 operator:-1  from:27 to:28 operator:-1  from:28 to:29 operator:-1  from:29 to:30 operator:-1  from:30 to:31 operator:-1  from:31 to:32 operator:-1  from:32 to:33 operator:-1  from:33 to:34 operator:-1  from:34 to:35 operator:-1  from:35 to:36 operator:-1  from:36 to:37 operator:-1  from:37 to:38 operator:-1  from:38 to:39 operator:-1  ,0
1009,0.2984073,0.0040348,0.0175158,33.51124453,2478.437593,570.9131184,30,1.19E-07,5.96E-08,1.19E-07,0.044956814,0:1 1:1 2:2 3:2 4:2 5:2 6:2 7:2 8:2 9:2 10:2 11:2 12:2 13:2 14:2 15:2 16:2 17:2 18:2 19:2 20:2 21:2 22:2 23:3 24:3 25:3 26:3 27:3 28:3 29:3 30:3 31:3 32:3 33:3 34:5 35:5 36:12 37:15 38:15 39:18 ,from:0 to:1 operator:-1  from:0 to:2 operator:11  from:1 to:2 operator:-1  from:1 to:23 operator:12  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:34 operator:11  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:36 operator:11  from:8 to:9 operator:-1  from:9 to:10 operator:-1  from:10 to:11 operator:-1  from:11 to:12 operator:-1  from:12 to:13 operator:-1  from:13 to:14 operator:-1  from:14 to:15 operator:-1  from:15 to:16 operator:-1  from:16 to:17 operator:-1  from:17 to:18 operator:-1  from:18 to:19 operator:-1  from:19 to:20 operator:-1  from:20 to:21 operator:-1  from:20 to:36 operator:9  from:21 to:22 operator:-1  from:22 to:23 operator:-1  from:23 to:24 operator:-1  from:24 to:25 operator:-1  from:25 to:26 operator:-1  from:26 to:27 operator:-1  from:26 to:36 operator:5  from:27 to:28 operator:-1  from:28 to:29 operator:-1  from:29 to:30 operator:-1  from:30 to:31 operator:-1  from:31 to:32 operator:-1  from:31 to:37 operator:10  from:32 to:33 operator:-1  from:32 to:39 operator:10  from:33 to:34 operator:-1  from:34 to:35 operator:-1  from:35 to:36 operator:-1  from:36 to:37 operator:-1  from:37 to:38 operator:-1  from:38 to:39 operator:-1  ,0
