No,tensorflow_elapsed,torch_elapsed,mindspore_elapsed,tensorflow_fps,torch_fps,mindspore_fps,complexity,diff_tf_torch_max,diff_torch_mindspore_max,diff_tf_mindspore_max,fitness,channels,model,fail_time
1000,0.3742005,0.1064455,0.0407273,2.672364147,9.394478865,24.55355499,35,3.43E-05,3.05E-05,2.29E-05,0.06320896,0:1 1:1 2:1 3:1 4:1 5:1 6:2 7:2 8:2 9:2 10:2 11:2 12:2 13:2 14:2 15:2 16:2 17:2 18:2 19:2 20:2 21:2 22:2 23:2 24:3 25:5 26:5 27:5 28:5 29:12 30:13 31:13 32:13 33:14 34:14 35:15 36:15 37:15 38:15 39:15 ,from:0 to:1 operator:10  from:0 to:6 operator:1  from:0 to:24 operator:13  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:4 to:35 operator:10  from:5 to:6 operator:-1  from:5 to:33 operator:9  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  from:8 to:29 operator:12  from:9 to:10 operator:-1  from:10 to:11 operator:-1  from:11 to:12 operator:-1  from:12 to:13 operator:-1  from:13 to:14 operator:-1  from:14 to:15 operator:-1  from:15 to:16 operator:-1  from:16 to:17 operator:-1  from:17 to:18 operator:13  from:18 to:19 operator:-1  from:19 to:20 operator:-1  from:20 to:21 operator:-1  from:21 to:22 operator:-1  from:22 to:23 operator:-1  from:23 to:24 operator:-1  from:23 to:25 operator:12  from:23 to:30 operator:6  from:24 to:25 operator:-1  from:25 to:26 operator:-1  from:25 to:29 operator:-1  from:26 to:27 operator:-1  from:27 to:28 operator:-1  from:28 to:29 operator:-1  from:29 to:30 operator:-1  from:30 to:31 operator:-1  from:31 to:32 operator:-1  from:32 to:33 operator:-1  from:33 to:34 operator:-1  from:34 to:35 operator:-1  from:35 to:36 operator:-1  from:36 to:37 operator:-1  from:37 to:38 operator:-1  from:38 to:39 operator:-1  ,0
1001,0.1447525,0.0327989,0.0199772,6.908343552,30.48882737,50.05706505,40,5.72E-06,5.72E-06,3.81E-06,0.135068188,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 8:1 9:1 10:1 11:1 12:1 13:1 14:1 15:1 16:1 17:1 18:2 19:2 20:2 21:2 22:3 23:5 24:5 25:5 26:5 27:5 28:5 29:5 30:5 31:6 32:7 33:7 34:9 35:9 36:9 37:9 38:9 39:9 ,from:0 to:1 operator:-1  from:0 to:22 operator:6  from:0 to:32 operator:13  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:34 operator:5  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  from:9 to:10 operator:-1  from:10 to:11 operator:-1  from:10 to:23 operator:8  from:11 to:12 operator:-1  from:11 to:34 operator:4  from:12 to:13 operator:-1  from:12 to:18 operator:13  from:12 to:23 operator:2  from:13 to:14 operator:-1  from:14 to:15 operator:-1  from:14 to:31 operator:16  from:15 to:16 operator:-1  from:16 to:17 operator:-1  from:17 to:18 operator:-1  from:18 to:19 operator:-1  from:19 to:20 operator:-1  from:20 to:21 operator:-1  from:21 to:22 operator:-1  from:22 to:23 operator:-1  from:23 to:24 operator:-1  from:24 to:25 operator:-1  from:25 to:26 operator:-1  from:26 to:27 operator:-1  from:27 to:28 operator:-1  from:28 to:29 operator:-1  from:29 to:30 operator:-1  from:30 to:31 operator:-1  from:31 to:32 operator:-1  from:32 to:33 operator:-1  from:33 to:34 operator:-1  from:34 to:35 operator:-1  from:35 to:36 operator:-1  from:36 to:37 operator:-1  from:37 to:38 operator:-1  from:38 to:39 operator:-1  ,0
1002,0.1902251,0.0426141,0.0369892,5.256929816,23.46641135,27.0349183,37,2.29E-05,1.53E-05,2.29E-05,0.099481107,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 8:1 9:1 10:1 11:1 12:1 13:1 14:1 15:1 16:1 17:1 18:1 19:1 20:1 21:1 22:1 23:2 24:2 25:2 26:2 27:2 28:2 29:4 30:5 31:6 32:6 33:6 34:6 35:6 36:6 37:6 38:10 39:16 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:30 operator:8  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  from:9 to:10 operator:-1  from:10 to:11 operator:-1  from:11 to:12 operator:-1  from:12 to:13 operator:-1  from:12 to:23 operator:2  from:12 to:31 operator:13  from:13 to:14 operator:-1  from:13 to:29 operator:-1  from:14 to:15 operator:-1  from:15 to:16 operator:-1  from:16 to:17 operator:-1  from:17 to:18 operator:-1  from:18 to:19 operator:-1  from:19 to:20 operator:-1  from:20 to:21 operator:-1  from:21 to:22 operator:-1  from:22 to:23 operator:-1  from:23 to:24 operator:-1  from:24 to:25 operator:-1  from:25 to:26 operator:-1  from:26 to:27 operator:-1  from:27 to:28 operator:-1  from:27 to:29 operator:7  from:28 to:29 operator:-1  from:29 to:30 operator:-1  from:29 to:38 operator:9  from:30 to:31 operator:-1  from:31 to:32 operator:-1  from:32 to:33 operator:11  from:33 to:34 operator:-1  from:34 to:35 operator:-1  from:34 to:39 operator:5  from:35 to:36 operator:-1  from:36 to:37 operator:-1  from:37 to:38 operator:-1  from:38 to:39 operator:-1  ,0
1003,0.2645605,0.0445723,0.0240257,3.779853757,22.43545879,41.62209634,29,2.38E-07,1.19E-07,2.38E-07,0.094350546,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 8:1 9:1 10:1 11:1 12:1 13:1 14:1 15:1 16:1 17:1 18:1 19:1 20:1 21:1 22:1 23:1 24:1 25:1 26:1 27:3 28:3 29:3 30:3 31:4 32:7 33:7 34:7 35:7 36:7 37:7 38:7 39:10 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:1 to:27 operator:1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:3 to:27 operator:10  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:31 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  from:9 to:10 operator:-1  from:10 to:11 operator:-1  from:11 to:12 operator:-1  from:12 to:13 operator:-1  from:13 to:14 operator:-1  from:14 to:15 operator:-1  from:15 to:16 operator:-1  from:16 to:17 operator:-1  from:17 to:18 operator:13  from:18 to:19 operator:-1  from:19 to:20 operator:-1  from:20 to:21 operator:-1  from:21 to:22 operator:-1  from:22 to:23 operator:-1  from:23 to:24 operator:-1  from:24 to:25 operator:-1  from:25 to:26 operator:-1  from:26 to:27 operator:-1  from:27 to:28 operator:-1  from:27 to:39 operator:16  from:28 to:29 operator:-1  from:29 to:30 operator:-1  from:29 to:32 operator:8  from:30 to:31 operator:-1  from:31 to:32 operator:-1  from:32 to:33 operator:-1  from:33 to:34 operator:-1  from:34 to:35 operator:-1  from:35 to:36 operator:-1  from:36 to:37 operator:-1  from:37 to:38 operator:-1  from:38 to:39 operator:-1  ,0
1004,0.406641,0.3095567,0.1463858,2.459171603,3.230425961,6.831263688,47,5.72E-06,4.77E-06,3.81E-06,0.042354854,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:2 8:2 9:2 10:2 11:2 12:2 13:3 14:4 15:4 16:4 17:4 18:4 19:4 20:4 21:4 22:5 23:7 24:7 25:7 26:7 27:7 28:7 29:7 30:7 31:18 32:18 33:18 34:27 35:27 36:27 37:27 38:38 39:65 ,from:0 to:1 operator:-1  from:0 to:14 operator:4  from:0 to:22 operator:6  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:7 operator:2  from:6 to:7 operator:-1  from:6 to:13 operator:8  from:7 to:8 operator:-1  from:8 to:9 operator:-1  from:9 to:10 operator:-1  from:10 to:11 operator:-1  from:11 to:12 operator:-1  from:11 to:34 operator:4  from:12 to:13 operator:-1  from:12 to:23 operator:2  from:13 to:14 operator:-1  from:14 to:15 operator:-1  from:14 to:31 operator:16  from:15 to:16 operator:-1  from:15 to:38 operator:9  from:16 to:17 operator:-1  from:17 to:18 operator:-1  from:18 to:19 operator:-1  from:19 to:20 operator:-1  from:20 to:21 operator:-1  from:21 to:22 operator:-1  from:22 to:23 operator:-1  from:23 to:24 operator:-1  from:23 to:34 operator:8  from:24 to:25 operator:-1  from:25 to:26 operator:-1  from:26 to:27 operator:-1  from:26 to:38 operator:10  from:27 to:28 operator:-1  from:27 to:31 operator:5  from:28 to:29 operator:-1  from:29 to:30 operator:-1  from:30 to:31 operator:-1  from:31 to:32 operator:-1  from:32 to:33 operator:-1  from:33 to:34 operator:-1  from:34 to:35 operator:-1  from:35 to:36 operator:-1  from:36 to:37 operator:-1  from:36 to:39 operator:9  from:37 to:38 operator:-1  from:38 to:39 operator:-1  ,0
1005,0.1578224,0.0375102,0.0231542,6.336236174,26.65941531,43.18870874,40,4.77E-06,4.77E-06,3.81E-06,0.121279773,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 8:1 9:1 10:1 11:1 12:1 13:1 14:1 15:1 16:1 17:1 18:2 19:2 20:2 21:2 22:3 23:5 24:5 25:5 26:5 27:5 28:5 29:5 30:5 31:6 32:7 33:7 34:9 35:9 36:10 37:10 38:10 39:10 ,from:0 to:1 operator:-1  from:0 to:22 operator:6  from:0 to:32 operator:13  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:34 operator:5  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  from:9 to:10 operator:-1  from:10 to:11 operator:-1  from:10 to:23 operator:8  from:11 to:12 operator:-1  from:11 to:34 operator:4  from:12 to:13 operator:-1  from:12 to:18 operator:13  from:12 to:23 operator:2  from:13 to:14 operator:-1  from:14 to:15 operator:-1  from:14 to:31 operator:16  from:15 to:16 operator:-1  from:15 to:36 operator:5  from:16 to:17 operator:-1  from:17 to:18 operator:-1  from:18 to:19 operator:-1  from:19 to:20 operator:-1  from:20 to:21 operator:-1  from:21 to:22 operator:-1  from:22 to:23 operator:-1  from:23 to:24 operator:-1  from:24 to:25 operator:-1  from:25 to:26 operator:-1  from:26 to:27 operator:-1  from:27 to:28 operator:-1  from:28 to:29 operator:-1  from:29 to:30 operator:-1  from:30 to:31 operator:-1  from:31 to:32 operator:-1  from:32 to:33 operator:-1  from:33 to:34 operator:-1  from:34 to:35 operator:-1  from:35 to:36 operator:-1  from:36 to:37 operator:-1  from:37 to:38 operator:-1  from:38 to:39 operator:-1  ,0
1006,0.2394354,0.1721872,0.0830956,4.176491864,5.807632623,12.03433154,48,9.16E-05,0.00012207,6.10E-05,0.069221867,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:2 8:2 9:2 10:2 11:2 12:2 13:3 14:4 15:4 16:4 17:4 18:4 19:4 20:4 21:4 22:5 23:7 24:7 25:7 26:7 27:7 28:7 29:8 30:8 31:19 32:19 33:19 34:28 35:28 36:28 37:28 38:39 39:67 ,from:0 to:1 operator:-1  from:0 to:14 operator:4  from:0 to:22 operator:6  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:7 operator:2  from:6 to:7 operator:-1  from:6 to:13 operator:8  from:7 to:8 operator:-1  from:8 to:9 operator:-1  from:9 to:10 operator:-1  from:10 to:11 operator:-1  from:11 to:12 operator:-1  from:11 to:34 operator:4  from:12 to:13 operator:-1  from:12 to:23 operator:2  from:13 to:14 operator:-1  from:14 to:15 operator:-1  from:14 to:31 operator:16  from:15 to:16 operator:-1  from:15 to:38 operator:9  from:16 to:17 operator:-1  from:17 to:18 operator:-1  from:17 to:29 operator:6  from:18 to:19 operator:-1  from:19 to:20 operator:-1  from:20 to:21 operator:-1  from:21 to:22 operator:-1  from:22 to:23 operator:-1  from:23 to:24 operator:-1  from:23 to:34 operator:8  from:24 to:25 operator:-1  from:25 to:26 operator:-1  from:26 to:27 operator:-1  from:26 to:38 operator:10  from:27 to:28 operator:-1  from:27 to:31 operator:5  from:28 to:29 operator:-1  from:29 to:30 operator:-1  from:30 to:31 operator:-1  from:31 to:32 operator:-1  from:32 to:33 operator:-1  from:33 to:34 operator:-1  from:34 to:35 operator:-1  from:35 to:36 operator:-1  from:36 to:37 operator:-1  from:36 to:39 operator:9  from:37 to:38 operator:-1  from:38 to:39 operator:-1  ,0
1007,0.3184522,0.0683402,0.0472604,3.1401887,14.63267594,21.15936386,28,0,0,0,0.064530712,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 8:1 9:2 10:2 11:2 12:2 13:2 14:2 15:2 16:2 17:2 18:2 19:2 20:2 21:2 22:3 23:5 24:5 25:5 26:7 27:7 28:7 29:7 30:7 31:9 32:9 33:9 34:9 35:9 36:9 37:9 38:9 39:9 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:22 operator:3  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:6 to:9 operator:12  from:7 to:8 operator:-1  from:8 to:9 operator:-1  from:9 to:10 operator:-1  from:9 to:26 operator:5  from:10 to:11 operator:-1  from:11 to:12 operator:-1  from:12 to:13 operator:-1  from:12 to:23 operator:2  from:13 to:14 operator:-1  from:14 to:15 operator:-1  from:14 to:31 operator:16  from:15 to:16 operator:-1  from:16 to:17 operator:-1  from:17 to:18 operator:-1  from:18 to:19 operator:-1  from:19 to:20 operator:-1  from:20 to:21 operator:-1  from:21 to:22 operator:-1  from:22 to:23 operator:-1  from:23 to:24 operator:-1  from:24 to:25 operator:-1  from:25 to:26 operator:-1  from:26 to:27 operator:-1  from:27 to:28 operator:-1  from:28 to:29 operator:-1  from:29 to:30 operator:-1  from:30 to:31 operator:-1  from:31 to:32 operator:-1  from:32 to:33 operator:-1  from:33 to:34 operator:-1  from:34 to:35 operator:-1  from:35 to:36 operator:-1  from:36 to:37 operator:-1  from:37 to:38 operator:-1  from:38 to:39 operator:-1  ,0
1008,0.3297529,0.1272736,0.0669952,3.032573785,7.85708898,14.92644249,47,2.29E-05,3.81E-06,2.29E-05,0.059723153,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 8:1 9:1 10:2 11:2 12:2 13:2 14:2 15:2 16:2 17:2 18:4 19:4 20:4 21:4 22:5 23:9 24:9 25:9 26:9 27:9 28:9 29:9 30:9 31:11 32:12 33:12 34:15 35:15 36:15 37:15 38:15 39:15 ,from:0 to:1 operator:-1  from:0 to:22 operator:6  from:0 to:32 operator:13  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:10 operator:7  from:2 to:34 operator:5  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  from:9 to:10 operator:-1  from:10 to:11 operator:-1  from:10 to:23 operator:8  from:11 to:12 operator:-1  from:11 to:34 operator:4  from:12 to:13 operator:-1  from:12 to:18 operator:13  from:12 to:23 operator:2  from:13 to:14 operator:-1  from:14 to:15 operator:-1  from:14 to:31 operator:16  from:15 to:16 operator:-1  from:16 to:17 operator:-1  from:17 to:18 operator:-1  from:18 to:19 operator:-1  from:19 to:20 operator:-1  from:20 to:21 operator:-1  from:21 to:22 operator:-1  from:22 to:23 operator:-1  from:23 to:24 operator:-1  from:24 to:25 operator:-1  from:25 to:26 operator:-1  from:26 to:27 operator:-1  from:27 to:28 operator:-1  from:28 to:29 operator:-1  from:29 to:30 operator:-1  from:30 to:31 operator:-1  from:31 to:32 operator:-1  from:32 to:33 operator:-1  from:33 to:34 operator:-1  from:34 to:35 operator:-1  from:35 to:36 operator:-1  from:36 to:37 operator:-1  from:37 to:38 operator:-1  from:38 to:39 operator:-1  ,0
1009,0.1491723,0.0359761,0.0063049,6.703657448,27.79623139,158.6067979,21,2.38E-07,1.79E-07,2.38E-07,0.203231089,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 8:1 9:1 10:1 11:1 12:1 13:1 14:1 15:1 16:1 17:1 18:1 19:1 20:1 21:1 22:2 23:2 24:2 25:2 26:2 27:2 28:2 29:3 30:3 31:3 32:5 33:5 34:5 35:6 36:6 37:6 38:6 39:6 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:4 to:35 operator:10  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:22 operator:12  from:8 to:9 operator:-1  from:8 to:29 operator:14  from:9 to:10 operator:-1  from:10 to:11 operator:-1  from:11 to:12 operator:-1  from:12 to:13 operator:-1  from:13 to:14 operator:-1  from:14 to:15 operator:-1  from:15 to:16 operator:-1  from:16 to:17 operator:-1  from:17 to:18 operator:13  from:18 to:19 operator:-1  from:19 to:20 operator:-1  from:20 to:21 operator:-1  from:21 to:22 operator:12  from:22 to:23 operator:-1  from:23 to:24 operator:-1  from:24 to:25 operator:-1  from:25 to:26 operator:-1  from:26 to:27 operator:-1  from:27 to:28 operator:-1  from:28 to:29 operator:-1  from:28 to:32 operator:12  from:29 to:30 operator:-1  from:30 to:31 operator:-1  from:31 to:32 operator:-1  from:32 to:33 operator:-1  from:33 to:34 operator:-1  from:34 to:35 operator:-1  from:35 to:36 operator:-1  from:36 to:37 operator:-1  from:37 to:38 operator:-1  from:38 to:39 operator:-1  ,0
