No,tensorflow_elapsed,torch_elapsed,mindspore_elapsed,tensorflow_fps,torch_fps,mindspore_fps,complexity,diff_tf_torch_max,diff_torch_mindspore_max,diff_tf_mindspore_max,fitness,channels,model,fail_time
0,4.19033178,0.0043424,0.050625302,0.238644588,230.2873738,19.75296862,2,0,0,0,1.00E-09,0:1 1:1 2:1 3:1 4:1 5:1 ,from:0 to:1 operator:-1  from:1 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:2 operator:-1  ,0
1,0.015062815,0.00031968,0.000616225,66.38865498,3128.126181,1622.782796,2,0,0,0,1.00E-09,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
2,0.013631626,0.000219277,0.000497106,73.35881997,4560.439606,2011.645288,2,0,0,0,1.00E-09,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
3,0.013324921,0.000214322,0.000566477,75.04734914,4665.886619,1765.296875,2,0,0,0,1.00E-09,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
4,0.014856959,0.000272192,0.000453656,67.30852633,3673.87644,2204.315305,2,0,0,0,1.00E-09,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
5,0.019486195,0.000828192,0.000516132,51.31838099,1207.450008,1937.487164,2,0,0,0,1.00E-09,0:1 1:1 2:1 3:1 4:1 5:1 ,from:0 to:1 operator:-1  from:1 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:2 operator:-1  ,0
6,0.01339181,0.000264409,0.000475226,74.67250244,3782.019549,2104.262104,2,0,0,0,1.00E-09,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
7,0.013540256,0.000267254,0.000532194,73.85384826,3741.756135,1879.0139,2,0,0,0,1.00E-09,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
8,0.01974625,0.000497992,0.000505704,50.64252824,2008.06378,1977.443299,2,0,0,0,1.00E-09,0:1 1:1 2:1 3:1 4:1 5:1 ,from:0 to:1 operator:-1  from:1 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:2 operator:-1  ,0
9,0.087459391,0.016388552,0.071102975,11.43387793,61.01820246,14.06410914,3,0,0,0,1.00E-09,0:1 1:1 2:1 ,from:0 to:1 operator:3  from:1 to:2 operator:-1  ,0
10,0.023246875,0.000978918,0.0005879,43.01653442,1021.536216,1700.969063,2,0,0,0,1.00E-09,0:1 1:1 2:1 3:1 4:1 5:1 ,from:0 to:1 operator:-1  from:1 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:2 operator:-1  ,0
11,0.019204232,0.000472541,0.000354262,52.07185607,2116.218634,2822.76904,2,0,0,0,1.00E-09,0:1 1:1 2:1 3:1 4:1 5:1 ,from:0 to:1 operator:-1  from:1 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:2 operator:-1  ,0
12,0.021019757,0.003033807,0.004018182,47.57428974,329.6189052,248.868771,5,0,0,0,1.00E-09,0:1 1:1 2:1 3:1 4:1 5:1 ,from:0 to:1 operator:-1  from:1 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:8  from:5 to:2 operator:-1  ,0
13,0.014460048,0.000235736,0.000498571,69.15606506,4242.026802,2005.730641,2,0,0,0,1.00E-09,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
14,0.019454137,0.000408092,0.000387067,51.40294727,2450.430352,2583.532215,2,0,0,0,1.00E-09,0:1 1:1 2:1 3:1 4:1 5:1 ,from:0 to:1 operator:-1  from:1 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:2 operator:-1  ,0
15,0.025117072,0.000398356,0.000374601,39.81355745,2510.314459,2669.505436,2,0,0,0,1.00E-09,0:1 1:1 2:1 3:1 4:1 5:1 ,from:0 to:1 operator:-1  from:1 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:2 operator:-1  ,0
16,0.024171431,0.000465616,0.000545164,41.37115489,2147.694122,1834.311624,2,0,0,0,1.00E-09,0:1 1:1 2:1 3:1 4:1 5:1 ,from:0 to:1 operator:-1  from:1 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:2 operator:-1  ,0
17,0.014150826,0.000307994,0.000447062,70.66725162,3246.816883,2236.826992,2,0,0,0,1.00E-09,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
18,0.014417505,0.000276538,0.000822625,69.36012906,3616.144627,1215.620545,2,0,0,0,1.00E-09,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
19,0.020502936,0.000507709,0.000491353,48.77350226,1969.633611,2035.197719,2,0,0,0,1.00E-09,0:1 1:1 2:1 3:1 4:1 5:1 ,from:0 to:1 operator:-1  from:1 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:2 operator:-1  ,0
20,0.019099246,0.000403475,0.002315225,52.35808846,2478.468206,431.9234483,2,0,0,0,1.00E-09,0:1 1:1 2:1 3:1 4:1 5:1 ,from:0 to:1 operator:-1  from:1 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:2 operator:-1  ,0
21,0.018094147,0.000255557,0.001959828,55.26649147,3913.024774,510.2489292,2,0,0,0,1.00E-09,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
22,0.020238381,0.000397662,0.002064507,49.41106732,2514.700304,484.3770352,2,0,0,0,1.00E-09,0:1 1:1 2:1 3:1 4:1 5:1 ,from:0 to:1 operator:-1  from:1 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:2 operator:-1  ,0
23,0.020068469,0.000461585,0.002109472,49.82941037,2166.44874,474.0523402,2,0,0,0,1.00E-09,0:1 1:1 2:1 3:1 4:1 5:1 ,from:0 to:1 operator:-1  from:1 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:2 operator:-1  ,0
24,0.021004369,0.000617661,0.002101169,47.60914367,1619.012171,475.9255516,5,0,0,0,1.00E-09,0:1 1:1 2:1 3:1 4:1 5:1 ,from:0 to:1 operator:-1  from:1 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:8  from:5 to:2 operator:-1  ,0
25,0.0258845,0.000468614,0.00055276,38.63315918,2133.954377,1809.105026,2,0,0,0,1.00E-09,0:1 1:1 2:1 3:1 4:1 5:1 ,from:0 to:1 operator:-1  from:1 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:2 operator:-1  ,0
26,0.025148662,0.003008475,0.007095621,39.76354717,332.394364,140.9319924,2,2.38E-07,5.96E-08,2.38E-07,1.00E-09,0:1 1:1 2:2 ,from:0 to:1 operator:-1  from:0 to:2 operator:10  from:1 to:2 operator:-1  ,0
27,0.020187837,0.002496457,0.000389979,49.53477663,400.5677283,2564.239186,2,0,0,0,1.00E-09,0:1 1:1 2:1 3:1 4:1 5:1 ,from:0 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:1 operator:-1  from:1 to:2 operator:-1  ,0
28,0.013932376,0.000256491,0.000321866,71.7752656,3898.773893,3106.882862,2,0,0,0,1.00E-09,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
29,0.013446584,0.000255468,0.000296427,74.36832837,3914.379961,3373.512577,2,0,0,0,1.00E-09,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
30,0.015512407,0.000254348,0.000515328,64.46452902,3931.622473,1940.512469,2,0,0,0,1.00E-09,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
31,0.020455485,0.000465576,0.000482321,48.88664286,2147.878858,2073.308947,2,0,0,0,1.00E-09,0:1 1:1 2:1 3:1 4:1 5:1 ,from:0 to:1 operator:-1  from:1 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:2 operator:-1  ,0
32,0.0138986,0.000264741,0.000410005,71.94969333,3777.269806,2438.997508,2,0,0,0,1.00E-09,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
33,0.020100398,0.000999244,0.001631253,49.7502587,1000.756642,613.0255426,5,0,0,0,1.00E-09,0:1 1:1 2:1 3:1 4:1 5:1 ,from:0 to:1 operator:-1  from:1 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:8  from:5 to:2 operator:-1  ,0
34,0.013679974,0.000249861,0.000419939,73.09955531,4002.228309,2381.298594,2,0,0,0,1.00E-09,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
35,0.013027676,0.000263733,0.000443876,76.75965926,3791.715631,2252.882503,2,0,0,0,1.00E-09,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
36,0.013869444,0.000287317,0.00041137,72.1009441,3480.479423,2430.90258,2,0,0,0,1.00E-09,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
37,0.028007481,0.003672188,0.001353798,35.70474586,272.3172015,738.6623996,4,0,0,0,1.00E-09,0:1 1:1 2:2 3:1 4:1 5:1 6:1 7:1 8:1 ,from:0 to:1 operator:-1  from:0 to:3 operator:-1  from:1 to:6 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:2 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:2 operator:-1  ,0
38,0.038027163,0.00445782,0.006326596,26.2969922,224.3248838,158.0628762,5,0,5.72E-06,5.72E-06,1.00E-09,0:1 1:1 2:1 3:1 4:1 5:1 ,from:0 to:1 operator:-1  from:1 to:3 operator:-1  from:3 to:4 operator:6  from:4 to:5 operator:-1  from:5 to:2 operator:-1  ,0
39,0.018278085,0.000573314,0.000412771,54.71032751,1744.245488,2422.648009,2,0,0,0,1.00E-09,0:1 1:1 2:1 3:1 4:1 5:1 ,from:0 to:1 operator:-1  from:1 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:2 operator:-1  ,0
40,0.018417607,0.000853544,0.000447687,54.29587007,1171.585626,2233.704647,2,0,0,0,1.00E-09,0:1 1:1 2:1 3:1 4:1 5:1 ,from:0 to:1 operator:-1  from:1 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:2 operator:-1  ,0
41,0.012417525,0.000247138,0.00033514,80.53134548,4046.328502,2983.826285,2,0,0,0,1.00E-09,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
42,0.012017918,0.000260293,0.00038173,83.20908955,3841.831012,2619.655615,2,0,0,0,1.00E-09,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
43,0.022308215,0.002013992,0.000968137,44.82653487,496.5264038,1032.911851,4,0,0,0,1.00E-09,0:1 1:1 2:2 3:1 4:1 5:1 ,from:0 to:1 operator:-1  from:0 to:3 operator:-1  from:1 to:2 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:2 operator:-1  ,0
44,0.018190123,0.000486181,0.000308185,54.97488897,2056.846644,3244.805473,2,0,0,0,1.00E-09,0:1 1:1 2:1 3:1 4:1 5:1 ,from:0 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:1 operator:-1  from:1 to:2 operator:-1  ,0
